Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"under-armour,-all-season-gear,-short-sleeve,-sports-women-synthetic-strappy-vest,-for-women,-size-xs","Under Armour, All Season Gear, Short Sleeve, Sports Women Synthetic Strappy Vest, For Women, Size XS",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,888284184421,14.72,50.00,2,https://www.mewse.ro/images/produse/
"under-armour,-micro-g-optimum,-sport-shoes,-grey/neon,-for-men,-8/42.5","Under Armour, Micro G Optimum, Sport Shoes, Grey/Neon, For Men, 8/42.5",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,888284431891,30.22,90.02,2,https://www.mewse.ro/images/produse/
"under-armour,-hga.-armourvent,-sports-men-synthetic-jacket,-blue,-size-m","Under Armour, HGA. Armourvent, Sports Men Synthetic Jacket, Blue, Size M",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,887547868092,24.27,61.72,1,https://www.mewse.ro/images/produse/
"under-armour,-micro-g-optimum,-sport-shoes,-grey/neon,-for-men","Under Armour, Micro G Optimum, Sport Shoes, Grey/Neon, For Men",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,888284431907,30.22,90.02,2,https://www.mewse.ro/images/produse/
"under-armour,-thrill,-running,-sport-shoes,-blue/pink/yellow,-for-men,-4/38","Under Armour, Thrill, Running, Sport Shoes, Blue/PinK/Yellow, For Men, 4/38",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,888728175640,32.37,96.41,3,https://www.mewse.ro/images/produse/
"under-armour,-under-armour,-textile-beanie,-black,-one-size,-unisex,-unisex","Under Armour, Under Armour, Textile Beanie, Black, One Size, Unisex, Unisex",<p>Under Armour - Regular</p>,Under Armour,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,888728677687,23.02,60.00,3,https://www.mewse.ro/images/produse/
"under-armour,-coldgear,-infrared-storm,-sports-men-synthetic-jacket,-black,-size-m","Under Armour, ColdGear, Infrared Storm, Sports Men Synthetic Jacket, Black, Size M",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,888284111755,35.65,90.02,1,https://www.mewse.ro/images/produse/under-armour-coldgear-infrared-storm-sports-jacket-black-m-for-men-1681384821.jpg
"under-armour,-heatgear,-sports-men-synthetic-leggings,-black,-size-s","Under Armour, HeatGear, Sports Men Synthetic Leggings, Black, Size S",<p>Under Armour - Regular</p>,Under Armour,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,884961069883,14.67,43.72,2,https://www.mewse.ro/images/produse/under-armour-heatgear-sports-leggings-black-for-men-s-1681373549.jpg
"under-armour,-under-armour,-textile-beanie,-purple,-one-size,-for-women","Under Armour, Under Armour, Textile Beanie, Purple, One Size, For Women",<p>Under Armour - Regular</p>,Under Armour,Clothing / Acessories,"For Women, Regular, Acessories",TRUE,Title,Default Title,885559495954,12.93,38.53,3,https://www.mewse.ro/images/produse/under-armour-under-armour-beanie-purple-one-size-for-women-1681374205.jpg
"sonia-rykiel,-sonia-rykiel,-glasses-case,-black","Sonia Rykiel, Sonia Rykiel, Glasses Case, Black",<p>Sonia Rykiel - Regular</p>,Sonia Rykiel,Clothing / Acessories,"For Women, Regular, Acessories",TRUE,Title,Default Title,99000000006160,6.05,34.00,3,https://www.mewse.ro/images/produse/sonia-rykiel-sonia-rykiel-glasses-case-black--1677670098.jpg
